,Restaurant name,Ranking,Number of reviews,Average vote,Price range,Price level,address,Postal code,Restaurant type 1,Restaurant type 2,Boroughs,Population,Income
49,Bocadella Tapas da Mario,50,699,4.5,$,1.0,"Calle Escultor Alfonso Gabino 19, 46022, Valencia Spain",46022,Mediterranean,European,Algirós,68400,15105.0
50,Gallina Negra,51,168,4.5,$$ - $$$,4.0,"Calle Roteros 16, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
51,Masa Madre,52,157,5.0,$$ - $$$,4.0,"Carrer de Baix, 20, 46003, Valencia Spain",46003,Italian,Bar,Ciutat Vella,26542,19009.0
52,Restaurante Navarro,53,4194,4.5,$$ - $$$,4.0,"Calle Arzobispo Mayoral, 5, 46002, Valencia Spain",46002,Seafood,Mediterranean,Ciutat Vella,26542,19009.0
53,Casa Cesar El Delfin,54,297,4.5,$$ - $$$,4.0,"Calle Isabel de Villena 71, 46011, Valencia Spain",46011,Mediterranean,Spanish,Poblats Marítims,82178,11698.0
54,Spicy Soul Hot Pot,55,216,4.5,$$ - $$$,4.0,"Calle del Pintor Benedito 8, 46007, Valencia Spain",46007,Chinese,Asian,Extramurs,73050,16794.0
55,Shullun Hot Pot,56,185,4.5,$$ - $$$,4.0,"Calle Pelayo 16, 46007, Valencia Spain",46007,Asian,Chinese,Extramurs,73050,16794.0
56,La Taska Sidreria,57,697,4.5,$$ - $$$,4.0,"Avenida Valladolid 5, 46020, Valencia Spain",46020,European,Spanish,Benimaclet,46868,14834.0
57,Pulpo,58,405,4.5,$$ - $$$,4.0,"Calle Chile 5, 46021, Valencia Spain",46021,Italian,Seafood,Algirós,68400,15105.0
58,Pasqualet,59,773,4.5,$$ - $$$,4.0,"Calle Francisco Monleon 12, 46012 El Palmar, Valencia Spain",46012,Mediterranean,European,,,
59,El Infante,60,428,4.5,$$ - $$$,4.0,"Calle Tapineria 11, 46001, Valencia Spain",46001,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
60,Flor de Valencia,61,1868,4.5,$$ - $$$,4.0,"Avenida Cardenal Benlloch 22, 46021, Valencia Spain",46021,Seafood,Mediterranean,Algirós,68400,15105.0
61,La Terrazza,62,810,4.5,$$ - $$$,4.0,"Calle de San Vicente Martir 26, 46002, Valencia Spain",46002,Italian,Pizza,Ciutat Vella,26542,19009.0
62,Regla De Dos,63,86,5.0,$,1.0,"Calle Embajador Vich 8, 46002, Valencia Spain",46002,Italian,Mediterranean,Ciutat Vella,26542,19009.0
63,"Infraganti, con las manos en la masa",64,164,5.0,$,1.0,"Plaza de la Ciudad Brujas n. 343 AL 347 Mercado Central de Valencia, 46001, Valencia Spain",46001,Italian,Street Food,Ciutat Vella,26542,19009.0
64,Bar Cosmo Valencia,65,171,4.5,$$ - $$$,4.0,"Calle María Cristina 8, 46001, Valencia Spain",46001,Mediterranean,European,Ciutat Vella,26542,19009.0
65,El Sequer Bistronomia,66,184,4.5,$$ - $$$,4.0,"Calle Finlandia 8 46010 Valencia, 46010, Valencia Spain",46010,Mediterranean,European,El Pla del Real,26491,20207.0
66,Okay Lah! Valencia,67,545,4.5,$,1.0,"Calle les Garrigues 15, 46001, Valencia Spain",46001,Thai,Indonesian,Ciutat Vella,26542,19009.0
67,Pelayo Gastro Trinquet,68,1756,4.5,$$ - $$$,4.0,"Calle Pelayo, 6 Bajo, 46007, Valencia Spain",46007,Mediterranean,Spanish,Extramurs,73050,16794.0
68,Jamon Jamon Restaurant,69,2078,4.5,$$ - $$$,4.0,"Carrer de la Bosseria, 36, 46001, Valencia Spain",46001,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
69,Viva Napoli,70,1036,4.5,$$ - $$$,4.0,"Calle Reina 60, 46011, Valencia Spain",46011,Italian,Pizza,Poblats Marítims,82178,11698.0
70,Cafe ArtySana - Ruzafa,71,220,4.5,$,1.0,"Calle Denia 49 46006 Valencia, 46006, Valencia Spain",46006,Cafe,European,l'Eixample,76697,20299.0
71,Varetto Bar,72,154,5.0,,,"Gran Via del Marquès del Túria 73 Esquina Con Plaza De Canovas Del Castillo, 46004, Valencia Spain",46004,Bar,Mediterranean,l'Eixample,76697,20299.0
72,Casa Baldo 1915,73,341,4.5,$$ - $$$,4.0,"Calle Ribera, 5, 46002, Valencia Spain",46002,Mediterranean,European,Ciutat Vella,26542,19009.0
73,Kawori,74,1037,4.5,$$ - $$$,4.0,"Carrer de Carles Cervera, 8, 46006, Valencia Spain",46006,Japanese,Sushi,l'Eixample,76697,20299.0
74,Dempanadas,75,360,4.5,$,1.0,"Calle Calatrava 2, 46001, Valencia Spain",46001,Mediterranean,,Ciutat Vella,26542,19009.0
75,El Pederniz,76,1669,4.5,$$ - $$$,4.0,"Pasaje Ventura Feliú 20, 46007, Valencia Spain",46007,Mediterranean,European,Extramurs,73050,16794.0
76,Ricard Camarena Restaurant,77,1340,4.5,$$$$,7.0,"Avda. Burjassot nº 54 Bombas Gens Centre d'Art, 46009, Valencia Spain",46009,Mediterranean,European,La Saïdia,7022,13023.0
77,Nozomi Sushi Bar,78,1094,4.5,$$$$,7.0,"Calle Pedro III El Grande 11 Ruzafa, 46005, Valencia Spain",46005,Japanese,Sushi,l'Eixample,76697,20299.0
78,Pizzeria Ris8tto Restaurante,79,811,4.0,$$ - $$$,4.0,"Calle Ribera 12, 46002, Valencia Spain",46002,Italian,Pizza,Ciutat Vella,26542,19009.0
79,Estrella De Mar,80,427,4.5,$,1.0,"Carrer Justo Villar 38, 46011, Valencia Spain",46011,,,Poblats Marítims,82178,11698.0
80,La Cocina de Juanry,81,558,4.5,$$ - $$$,4.0,"Calle Mariano Ribera 33, 46018, Valencia Spain",46018,European,,l'Olivereta,35767,11410.0
81,La Cambra dels Sentits,82,418,4.5,$$ - $$$,4.0,"Calle Redolins 27 Calle Redolins,27, 46012 El Palmar, Valencia Spain",46012,Mediterranean,European,,,
82,Llar Roman,83,899,4.5,$$ - $$$,4.0,"Carretera Del Riu, 258, 46012, Valencia Spain",46012,Mediterranean,European,,,
83,Samsha,84,353,4.5,$$$$,7.0,"Plaza Periodista Ros Belda 4, 46021, Valencia Spain",46021,Mediterranean,European,Algirós,68400,15105.0
84,Matiz,85,313,4.5,$$ - $$$,4.0,"Calle Maestro Clave 12, 46001, Valencia Spain",46001,Italian,Mediterranean,Ciutat Vella,26542,19009.0
85,Rinconet,86,872,4.5,$$ - $$$,4.0,"Placa Polo de Bernabe 4 Bajo, 46010, Valencia Spain",46010,Mediterranean,European,El Pla del Real,26491,20207.0
86,MiKENGO,87,109,5.0,$,1.0,"Carrer del Doctor Josep Juan Domine 9, 46011, Valencia Spain",46011,Cafe,Healthy,Poblats Marítims,82178,11698.0
87,Le Favole,88,1950,4.5,$$ - $$$,4.0,"Calle Hiedra 5, 46001, Valencia Spain",46001,Italian,Healthy,Ciutat Vella,26542,19009.0
88,Toastone,89,305,4.5,$,1.0,"Avinguda de l'Oeste 43, 46001, Valencia Spain",46001,Italian,Mediterranean,Ciutat Vella,26542,19009.0
89,Sol Azteca,90,535,4.5,$$ - $$$,4.0,"Calle del Pintor Maella 17 Bajo, 46023, Valencia Spain",46023,Mexican,Latin,Camins al Grau,46154,13788.0
90,Meson Rey Jaime,91,922,4.5,$$ - $$$,4.0,"Avenida Baleares 32, 46023, Valencia Spain",46023,Steakhouse,Barbecue,Camins al Grau,46154,13788.0
91,MAUI RUSSAFA,92,341,4.5,$,1.0,"Calle Vivons 27 Bajo, 46006, Valencia Spain",46006,Mediterranean,European,l'Eixample,76697,20299.0
92,Easo Berri,93,211,4.5,$$$$,7.0,"Calle Angel Guimera 54, 46008, Valencia Spain",46008,Mediterranean,Spanish,Extramurs,73050,16794.0
93,Casa Montana,94,2414,4.5,$$ - $$$,4.0,"Calle de Jose Benlliure 69, 46011, Valencia Spain",46011,Mediterranean,European,Poblats Marítims,82178,11698.0
94,El Camerino Ruzafa,95,2212,4.5,$$ - $$$,4.0,"Calle Cura Femenia 16, 46006, Valencia Spain",46006,Mediterranean,European,l'Eixample,76697,20299.0
95,Tony Roma's,96,180,5.0,$$ - $$$,4.0,"Centro Comercial Heron City Local 2.8 y 2.9 Pista de Ademuz, salidas 6 y 7, 46980, Valencia Spain",46980,American,Barbecue,,,
96,Burritos - Trafalgar,97,96,5.0,$,1.0,"Carrer Trafalgar 52 Local 2, 46023, Valencia Spain",46023,Mexican,Healthy,Camins al Grau,46154,13788.0
97,Tanto Monta,98,650,4.5,$,1.0,"Calle Poeta Artola 19 Zona Pza. Xuquer, 46021, Valencia Spain",46021,Bar,,Algirós,68400,15105.0
98,Brunch Corner - La Virgen,99,311,4.5,$,1.0,"Calle Conde de Almodóvar, 1 Bajo Izquierda, 46003, Valencia Spain",46003,American,European,Ciutat Vella,26542,19009.0
99,Il Vulcano,100,698,4.5,$$ - $$$,4.0,"Calle Alfahuir 47, 46019, Valencia Spain",46019,Italian,Pizza,Rascanya,35308,11388.0
100,Restaurante La Salita,101,1300,4.5,$$$$,7.0,"C/ Pere III el Gran,11 Barrio Russafa, 46005, Valencia Spain",46005,Mediterranean,European,l'Eixample,76697,20299.0
101,Restaurant Secret,102,925,4.5,$$ - $$$,4.0,"Carrer de Sant Martí, 11 Calle San Martin, 11, 46002, Valencia Spain",46002,Seafood,Mediterranean,Ciutat Vella,26542,19009.0
102,RUZANUVOL Craft Beer & Food,103,371,4.5,$,1.0,"Calle Luis Santangel 3, 46005, Valencia Spain",46005,Italian,Mediterranean,l'Eixample,76697,20299.0
103,Brunch Corner - Sant Bult,104,593,4.5,$$ - $$$,4.0,"Placa de Sant Bult 3, 46003, Valencia Spain",46003,Cafe,European,Ciutat Vella,26542,19009.0
104,Taperia Pulperia Ligazon,105,301,4.5,$$ - $$$,4.0,"Calle Arolas 11 46001-Valencia, 46001, Valencia Spain",46001,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
105,beGreen Salad Company,106,325,4.5,$,1.0,"Calle de Martinez Cubells 10, 46002, Valencia Spain",46002,Fast Food,Healthy,Ciutat Vella,26542,19009.0
106,Tasquita Del Mar,107,468,4.5,$$ - $$$,4.0,"Calle del Mar 23, 46003, Valencia Spain",46003,Spanish,Bar,Ciutat Vella,26542,19009.0
107,Bar Restaurante Rojas Clemente,108,253,4.5,$,1.0,"Plaza Rojas Clemente, 46008, Valencia Spain",46008,Mediterranean,European,Extramurs,73050,16794.0
108,Mikkonos Beach Club,109,301,4.5,$$ - $$$,4.0,"Playa de la Creu, 46012 El Saler, Valencia Spain",46012,Mediterranean,Spanish,,,
109,El Patio de Pepa SL,110,242,4.5,$$ - $$$,4.0,"Calle Purisima 6, 46001, Valencia Spain",46001,Mediterranean,European,Ciutat Vella,26542,19009.0
110,Suquet La Francesa del Carmen,111,493,4.5,$$ - $$$,4.0,"Carrer de Felip Maria Garín, 2 Junto estación de gasolina de la Avda. Aragón, 46021, Valencia Spain",46021,Mediterranean,European,Algirós,68400,15105.0
111,USUAL resto-bar,112,775,4.5,$$ - $$$,4.0,"Calle Moratín 13, 46002, Valencia Spain",46002,European,Spanish,Ciutat Vella,26542,19009.0
112,Dukala,113,491,4.5,$$ - $$$,4.0,"Calle Doctor Sanchis Bergon 27, 46008, Valencia Spain",46008,Moroccan,Mediterranean,Extramurs,73050,16794.0
113,Pinsa Di Roma,114,476,4.5,$$ - $$$,4.0,"Calle Ribera 10, 46002, Valencia Spain",46002,Italian,Pizza,Ciutat Vella,26542,19009.0
114,Mood Food Restaurant,115,922,4.5,$$ - $$$,4.0,"Calle del Pintor Salvador Abril 7, 46005, Valencia Spain",46005,Mediterranean,European,l'Eixample,76697,20299.0
115,Bar Restaurante Aduana,116,676,4.5,$$ - $$$,4.0,"Muelle Plaza Aduana, s/n, 46024, Valencia Spain",46024,Seafood,Mediterranean,Poblats Marítims,82178,11698.0
116,Kamon,117,1148,4.5,$$ - $$$,4.0,"Calle del Conde de Altea 42, 46005, Valencia Spain",46005,Japanese,Sushi,l'Eixample,76697,20299.0
117,La Divina Comedia,118,1691,4.5,$$ - $$$,4.0,"Paseo Neptuno 60, 46011, Valencia Spain",46011,Spanish,Healthy,Poblats Marítims,82178,11698.0
118,Las Lunas Soul Kitchen,119,267,4.5,$$ - $$$,4.0,"Calle Ciscar 39 Calle Ciscar 39 Cánovas, 46005, Valencia Spain",46005,International,Mediterranean,l'Eixample,76697,20299.0
119,Restaurant Blanqueries,120,855,4.5,$$ - $$$,4.0,"Calle Blanquerias 12 46003, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
120,La Fabrica del Grao,121,452,4.5,$$ - $$$,4.0,"Calle Cristo del Grao 14, 46011, Valencia Spain",46011,Bar,Mediterranean,Poblats Marítims,82178,11698.0
121,La Pappardella,122,1850,4.5,$$ - $$$,4.0,"Calle Cobertizo Bordadores 5, 46001, Valencia Spain",46001,Italian,Mediterranean,Ciutat Vella,26542,19009.0
122,La Chipirona Cocina de Mar,123,346,4.5,$$ - $$$,4.0,"Calle del Maestro Gozalbo 29, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
123,El Tap,124,414,4.5,$$ - $$$,4.0,"Calle Roteros 9 Bajo Izq. zona del Carmen, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
124,El Nuevo Virrey,125,501,4.5,$$ - $$$,4.0,"Avenida Blasco Ibanez 74, 46021, Valencia Spain",46021,European,Mediterranean,Algirós,68400,15105.0
125,La Cepa Vieja,126,388,4.5,$$ - $$$,4.0,"Calle de San Vicente Martir 209 Junto estacion AVE Valencia, 46007, Valencia Spain",46007,Mediterranean,Spanish,Extramurs,73050,16794.0
126,Cruz Pampa,127,746,4.5,$$ - $$$,4.0,"Calle Conde de Altea 29, 46005, Valencia Spain",46005,Steakhouse,Latin,l'Eixample,76697,20299.0
127,Delicat,128,418,4.5,$$ - $$$,4.0,"Calle Conde de Almodovar 4, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
128,Shahi Restaurante,129,777,4.5,$,1.0,"Avenida Blasco Ibanez 153, 46022, Valencia Spain",46022,Pakistani,Indian,Algirós,68400,15105.0
129,Rausell,130,457,4.5,$$ - $$$,4.0,"Calle Angel Guimera 61, 46008, Valencia Spain",46008,Seafood,Mediterranean,Extramurs,73050,16794.0
130,Arroceria mornell,131,511,4.5,$$ - $$$,4.0,"Calle Francisco Monleon 31, 46012 El Palmar, Valencia Spain",46012,European,,,,
131,Spuntino Pizzeria,132,215,4.5,$,1.0,"Calle Alta 28, 46003, Valencia Spain",46003,Italian,Pizza,Ciutat Vella,26542,19009.0
132,El Gastronomo,133,331,4.5,$$$$,7.0,"Avenida Primado Reig 149, 46020, Valencia Spain",46020,Mediterranean,European,Benimaclet,46868,14834.0
133,Refugio,134,865,4.5,$$ - $$$,4.0,"Calle Alta 42, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
134,Restaurante Almunia,135,318,4.5,$$ - $$$,4.0,"Calle Bonaire 18, 46003, Valencia Spain",46003,Moroccan,Middle Eastern,Ciutat Vella,26542,19009.0
135,La Piazza Correos,136,312,4.5,$$ - $$$,4.0,"Calle de Correos 7, 46002, Valencia Spain",46002,Italian,Pizza,Ciutat Vella,26542,19009.0
136,Restaurante El Encuentro,137,1473,4.5,$$ - $$$,4.0,"Calle San Vicente Martir 28 Ciutat Vella, 46002, Valencia Spain",46002,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
137,Al Pomodoro,138,1163,4.5,$$ - $$$,4.0,"Valencia, Spain Calle Mar 22, 46003, Valencia Spain",46003,Italian,Pizza,Ciutat Vella,26542,19009.0
138,Numa,139,344,4.5,$$ - $$$,4.0,"Calle Purisima 3, 46001, Valencia Spain",46001,International,Mediterranean,Ciutat Vella,26542,19009.0
139,Restaurante Planta Azul,140,435,4.5,$$ - $$$,4.0,"Calle Francisco Monleon 29 El Palmar, 46012 El Palmar, Valencia Spain",46012,Mediterranean,European,,,
140,Taqueria Sol Azteca,141,119,4.5,$$ - $$$,4.0,"Calle del Conde de Altea 21, 46005, Valencia Spain",46005,Mexican,Latin,l'Eixample,76697,20299.0
141,Restaurante Lienzo,142,623,4.5,$$$$,7.0,"Placa Tetuan 18 Bajo Derecho, 46003, Valencia Spain",46003,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
142,Pizzeria Raices,143,104,5.0,$$ - $$$,4.0,"Calle Ciscar 62 C. Bailìa, 2, 46005, Valencia Spain",46005,Italian,Pizza,l'Eixample,76697,20299.0
143,Restaurante Commo Fusion,144,792,4.5,$$ - $$$,4.0,"Calle Pascual y Genis 3, 46002, Valencia Spain",46002,Fusion,Peruvian,Ciutat Vella,26542,19009.0
144,Marcellino Pizza e Vino,145,359,4.5,$$ - $$$,4.0,"Gran Via Fernando El Catolico 74 Chaflàn con Calle Quart, 46008, Valencia Spain",46008,Italian,Pizza,Extramurs,73050,16794.0
145,Alqueria del Pou,146,1288,4.5,$$ - $$$,4.0,"Lugar Entrada Rico 6, 46013, Valencia Spain",46013,Mediterranean,European,Quatre Carreres,52940,12357.0
146,La Salvaora,147,728,4.5,$$ - $$$,4.0,"Calle Calatrava 19, 46001, Valencia Spain",46001,Mediterranean,European,Ciutat Vella,26542,19009.0
147,GarnachaTinta,148,356,4.5,$$ - $$$,4.0,"Calle Doctor Romagosa 3, 46002, Valencia Spain",46002,Mediterranean,European,Ciutat Vella,26542,19009.0
148,La Vita e Bella,149,1250,4.5,$$ - $$$,4.0,"Calle Llop 4 Plaza Ayuntamiento, 46002, Valencia Spain",46002,Italian,Pizza,Ciutat Vella,26542,19009.0
149,Angus Burguer & Grill,150,759,4.5,$$ - $$$,4.0,"Calle Conde de Altea 47 Zona de Canovas, 46005, Valencia Spain",46005,American,Steakhouse,l'Eixample,76697,20299.0
150,Sondelluna,151,159,4.5,$$ - $$$,4.0,"Calle Lerida 14, 46009, Valencia Spain",46009,Mediterranean,Spanish,La Saïdia,7022,13023.0
151,Kea,152,551,4.5,$$ - $$$,4.0,"Calle de Cadiz 70 Bajo Derecha, 46006, Valencia Spain",46006,Mediterranean,Spanish,l'Eixample,76697,20299.0
152,Bar Kram,153,492,4.5,$$ - $$$,4.0,"Avenida Campanar 90 Kramer Hotel & Bar, 46015, Valencia Spain",46015,Bar,Cafe,Campanar,35767,15126.0
153,Hundred Burgers,154,423,4.5,$$ - $$$,4.0,"Calle Micer Masco 22 Downstair on the right side, 46010, Valencia Spain",46010,American,,El Pla del Real,26491,20207.0
154,Balansiya Restaurante,155,316,4.5,$$ - $$$,4.0,"Paseo Facultades 3, 46021, Valencia Spain",46021,International,Mediterranean,Algirós,68400,15105.0
155,Io Restaurante,156,397,4.5,$$ - $$$,4.0,"Calle Alta 30, 46003, Valencia Spain",46003,Spanish,Fusion,Ciutat Vella,26542,19009.0
